Year,Month,tmin_f,datetime
2008.0,10.0,69.04452039930555,2008-10-01
2008.0,11.0,67.75791829427084,2008-11-01
2008.0,12.0,66.60189887152778,2008-12-01
2009.0,1.0,64.03866102430555,2009-01-01
2009.0,2.0,63.33192545572916,2009-02-01
2009.0,3.0,63.713717990451386,2009-03-01
2009.0,4.0,64.40413953993055,2009-04-01
2009.0,5.0,67.04740397135417,2009-05-01
2009.0,6.0,69.51429850260416,2009-06-01
2009.0,7.0,70.61392686631945,2009-07-01
2009.0,8.0,71.34509548611112,2009-08-01
2009.0,9.0,70.62172580295139,2009-09-01
2009.0,10.0,70.77374945746527,2009-10-01
2009.0,11.0,68.89429253472223,2009-11-01
2009.0,12.0,64.72537706163195,2009-12-01
2010.0,1.0,65.04907497829862,2010-01-01
2010.0,2.0,63.37517361111111,2010-02-01
2010.0,3.0,65.27148166232638,2010-03-01
2010.0,4.0,66.15204806857639,2010-04-01
2010.0,5.0,67.90818684895834,2010-05-01
2010.0,6.0,68.75317111545138,2010-06-01
2010.0,7.0,68.87765028211805,2010-07-01
2010.0,8.0,69.83379991319444,2010-08-01
2010.0,9.0,69.29137369791667,2010-09-01
2010.0,10.0,69.52783203125,2010-10-01
2010.0,11.0,67.70346408420139,2010-11-01
2010.0,12.0,67.21380750868056,2010-12-01
2011.0,1.0,64.0786593967014,2011-01-01
2011.0,2.0,65.66274685329861,2011-02-01
2011.0,3.0,67.0369113498264,2011-03-01
2011.0,4.0,67.94909125434029,2011-04-01
2011.0,5.0,68.8802490234375,2011-05-01
2011.0,6.0,69.03062879774305,2011-06-01
2011.0,7.0,68.97855360243055,2011-07-01
2011.0,8.0,69.5212158203125,2011-08-01
2011.0,9.0,68.89364420572917,2011-09-01
2011.0,10.0,69.21759440104168,2011-10-01
2011.0,11.0,68.11125759548611,2011-11-01
2011.0,12.0,66.82757432725694,2011-12-01
2012.0,1.0,65.28943956163195,2012-01-01
2012.0,2.0,65.05251193576389,2012-02-01
2012.0,3.0,65.36602376302083,2012-03-01
2012.0,4.0,66.05930718315972,2012-04-01
2012.0,5.0,67.07265896267361,2012-05-01
2012.0,6.0,68.3775390625,2012-06-01
2012.0,7.0,69.27334526909722,2012-07-01
2012.0,8.0,69.85701497395834,2012-08-01
2012.0,9.0,69.53753526475694,2012-09-01
2012.0,10.0,69.90407986111111,2012-10-01
2012.0,11.0,67.7915283203125,2012-11-01
