Year,Month,Temp
2003.0,10.0,76.77357855902778
2003.0,11.0,73.04997829861111
2003.0,12.0,72.12142469618055
2004.0,1.0,71.30150282118055
2004.0,2.0,72.5246826171875
2004.0,3.0,70.78532986111111
2004.0,4.0,71.36435004340278
2004.0,5.0,74.36858181423611
2004.0,6.0,74.97652994791667
2004.0,7.0,75.97706976996528
2004.0,8.0,77.42831759982639
2004.0,9.0,77.02284613715278
2004.0,10.0,75.69671495225694
2004.0,11.0,74.07982313368055
2004.0,12.0,71.49914822048612
2005.0,1.0,72.07564290364584
2005.0,2.0,71.08713107638889
2005.0,3.0,71.27611490885417
2005.0,4.0,72.28072374131943
2005.0,5.0,75.07306857638889
2005.0,6.0,74.48249240451389
2005.0,7.0,76.44264322916666
2005.0,8.0,76.61279296875
