Year,Month,tmax_f,datetime
2006.0,12.0,75.01902940538194,2006-12-01
2007.0,1.0,74.22268880208333,2007-01-01
2007.0,2.0,72.65291883680555,2007-02-01
2007.0,3.0,74.29977484809028,2007-03-01
2007.0,4.0,74.57309841579861,2007-04-01
2007.0,5.0,76.80058051215278,2007-05-01
2007.0,6.0,78.14101019965278,2007-06-01
2007.0,7.0,78.60222439236111,2007-07-01
2007.0,8.0,79.1256564670139,2007-08-01
2007.0,9.0,78.72085503472223,2007-09-01
2007.0,10.0,78.04774848090278,2007-10-01
2007.0,11.0,76.42600640190972,2007-11-01
2007.0,12.0,72.74166666666667,2007-12-01
2008.0,1.0,71.46673719618056,2008-01-01
2008.0,2.0,72.83863389756945,2008-02-01
2008.0,3.0,74.70307345920139,2008-03-01
2008.0,4.0,74.64330512152779,2008-04-01
2008.0,5.0,76.06397298177083,2008-05-01
2008.0,6.0,77.43301595052083,2008-06-01
2008.0,7.0,78.79098307291667,2008-07-01
2008.0,8.0,78.91349283854166,2008-08-01
2008.0,9.0,78.11017252604167,2008-09-01
2008.0,10.0,77.85335828993055,2008-10-01
2008.0,11.0,76.07990993923612,2008-11-01
2008.0,12.0,73.82276475694445,2008-12-01
2009.0,1.0,71.90381401909723,2009-01-01
2009.0,2.0,70.86407606336806,2009-02-01
2009.0,3.0,70.8104736328125,2009-03-01
2009.0,4.0,72.1538547092014,2009-04-01
2009.0,5.0,76.67092827690972,2009-05-01
2009.0,6.0,78.76739366319444,2009-06-01
2009.0,7.0,79.00369466145834,2009-07-01
2009.0,8.0,79.97666015625,2009-08-01
2009.0,9.0,79.63989800347223,2009-09-01
2009.0,10.0,80.0681640625,2009-10-01
2009.0,11.0,76.08468695746528,2009-11-01
2009.0,12.0,75.34493543836805,2009-12-01
2010.0,1.0,75.40306803385417,2010-01-01
2010.0,2.0,73.63399251302084,2010-02-01
2010.0,3.0,72.54982367621528,2010-03-01
2010.0,4.0,73.74985080295139,2010-04-01
2010.0,5.0,76.98777398003472,2010-05-01
2010.0,6.0,78.20584309895833,2010-06-01
2010.0,7.0,78.30882703993055,2010-07-01
2010.0,8.0,78.80504014756946,2010-08-01
2010.0,9.0,79.02411024305556,2010-09-01
2010.0,10.0,78.10577799479167,2010-10-01
2010.0,11.0,75.93409288194445,2010-11-01
2010.0,12.0,75.52010362413193,2010-12-01
2011.0,1.0,73.23340386284723,2011-01-01
2011.0,2.0,75.41980251736112,2011-02-01
2011.0,3.0,74.79580891927083,2011-03-01
2011.0,4.0,76.29737955729166,2011-04-01
2011.0,5.0,76.60344509548611,2011-05-01
2011.0,6.0,77.40657280815972,2011-06-01
2011.0,7.0,78.38377821180556,2011-07-01
2011.0,8.0,79.32142469618056,2011-08-01
2011.0,9.0,79.21993272569445,2011-09-01
2011.0,10.0,77.84531792534722,2011-10-01
2011.0,11.0,75.48960232204861,2011-11-01
2011.0,12.0,73.14579535590278,2011-12-01
2012.0,1.0,75.10939670138889,2012-01-01
2012.0,2.0,73.76876356336805,2012-02-01
2012.0,3.0,72.81037868923612,2012-03-01
2012.0,4.0,74.34252658420138,2012-04-01
2012.0,5.0,75.79123263888889,2012-05-01
2012.0,6.0,76.3883816189236,2012-06-01
2012.0,7.0,77.44866807725694,2012-07-01
2012.0,8.0,78.47392035590278,2012-08-01
2012.0,9.0,77.36200086805556,2012-09-01
2012.0,10.0,78.96490342881944,2012-10-01
2012.0,11.0,76.06820746527778,2012-11-01
2012.0,12.0,74.49744466145833,2012-12-01
2013.0,1.0,72.43208821614584,2013-01-01
2013.0,2.0,71.73855251736111,2013-02-01
2013.0,3.0,72.63202039930556,2013-03-01
2013.0,4.0,75.84588487413194,2013-04-01
2013.0,5.0,76.42415364583334,2013-05-01
2013.0,6.0,77.55106336805557,2013-06-01
2013.0,7.0,78.94706488715278,2013-07-01
2013.0,8.0,79.52578125,2013-08-01
2013.0,9.0,79.22287326388889,2013-09-01
2013.0,10.0,78.7947265625,2013-10-01
2013.0,11.0,76.76171603732638,2013-11-01
2013.0,12.0,75.71129828559027,2013-12-01
2014.0,1.0,73.27376573350695,2014-01-01
2014.0,2.0,75.26713324652778,2014-02-01
2014.0,3.0,73.593505859375,2014-03-01
2014.0,4.0,74.37417263454861,2014-04-01
2014.0,5.0,76.93170572916668,2014-05-01
2014.0,6.0,77.73926866319445,2014-06-01
2014.0,7.0,79.63129340277777,2014-07-01
2014.0,8.0,80.29877929687501,2014-08-01
2014.0,9.0,81.00906032986111,2014-09-01
2014.0,10.0,79.48188476562501,2014-10-01
2014.0,11.0,77.25884331597223,2014-11-01
2014.0,12.0,74.38366156684027,2014-12-01
2015.0,1.0,73.66746961805555,2015-01-01
2015.0,2.0,74.79424099392361,2015-02-01
2015.0,3.0,73.29415418836805,2015-03-01
2015.0,4.0,76.81338161892361,2015-04-01
2015.0,5.0,75.64657118055555,2015-05-01
2015.0,6.0,78.66400824652777,2015-06-01
2015.0,7.0,81.10729166666667,2015-07-01
2015.0,8.0,81.90411241319444,2015-08-01
2015.0,9.0,81.17522243923611,2015-09-01
2015.0,10.0,79.71083441840278,2015-10-01
2015.0,11.0,77.92297634548612,2015-11-01
2015.0,12.0,75.5735080295139,2015-12-01
2016.0,1.0,75.8379150390625,2016-01-01
2016.0,2.0,74.93521321614583,2016-02-01
2016.0,3.0,74.56982693142362,2016-03-01
2016.0,4.0,76.28457302517361,2016-04-01
2016.0,5.0,76.66846516927083,2016-05-01
2016.0,6.0,77.90205620659722,2016-06-01
2016.0,7.0,80.33455403645834,2016-07-01
2016.0,8.0,80.52874891493056,2016-08-01
2016.0,9.0,79.91668836805556,2016-09-01
2016.0,10.0,78.22320421006944,2016-10-01
2016.0,11.0,75.86913519965279,2016-11-01
2016.0,12.0,73.4162841796875,2016-12-01
2017.0,1.0,73.46503634982639,2017-01-01
2017.0,2.0,73.3958984375,2017-02-01
2017.0,3.0,76.04043782552083,2017-03-01
2017.0,4.0,76.83375922309028,2017-04-01
2017.0,5.0,76.68564995659722,2017-05-01
2017.0,6.0,79.38046875,2017-06-01
2017.0,7.0,80.62178276909722,2017-07-01
2017.0,8.0,81.35224609375001,2017-08-01
2017.0,9.0,80.77894965277778,2017-09-01
2017.0,10.0,78.35094401041667,2017-10-01
2017.0,11.0,74.65973036024306,2017-11-01
2017.0,12.0,72.1707275390625,2017-12-01
2018.0,1.0,73.85481770833334,2018-01-01
2018.0,2.0,72.96918945312501,2018-02-01
2018.0,3.0,72.65486924913193,2018-03-01
2018.0,4.0,74.16877983940972,2018-04-01
2018.0,5.0,75.6868136935764,2018-05-01
2018.0,6.0,78.84613715277777,2018-06-01
2018.0,7.0,80.43477647569443,2018-07-01
2018.0,8.0,79.77346462673611,2018-08-01
2018.0,9.0,80.78578559027778,2018-09-01
2018.0,10.0,78.96566840277778,2018-10-01
2018.0,11.0,77.17805718315972,2018-11-01
2018.0,12.0,75.0012179904514,2018-12-01
2019.0,1.0,73.47140028211805,2019-01-01
2019.0,2.0,70.33114963107639,2019-02-01
2019.0,3.0,72.54495442708333,2019-03-01
2019.0,4.0,76.11880967881945,2019-04-01
2019.0,5.0,77.96458333333334,2019-05-01
2019.0,6.0,80.43765733506945,2019-06-01
2019.0,7.0,81.49449869791667,2019-07-01
2019.0,8.0,82.07345920138889,2019-08-01
2019.0,9.0,82.19258897569443,2019-09-01
2019.0,10.0,80.90550130208334,2019-10-01
2019.0,11.0,79.341845703125,2019-11-01
2019.0,12.0,76.24372558593751,2019-12-01
2020.0,1.0,74.69822862413194,2020-01-01
2020.0,2.0,73.04551052517361,2020-02-01
2020.0,3.0,73.41118977864583,2020-03-01
2020.0,4.0,75.82480740017361,2020-04-01
2020.0,5.0,77.23878851996528,2020-05-01
2020.0,6.0,79.17299262152778,2020-06-01
2020.0,7.0,79.77381184895833,2020-07-01
2020.0,8.0,80.72987738715278,2020-08-01
2020.0,9.0,80.73996853298611,2020-09-01
2020.0,10.0,80.27419704861111,2020-10-01
2020.0,11.0,77.61514214409722,2020-11-01
2020.0,12.0,76.85674913194444,2020-12-01
2021.0,1.0,74.65408799913195,2021-01-01
2021.0,2.0,73.26162651909723,2021-02-01
2021.0,3.0,72.69479437934028,2021-03-01
2021.0,4.0,73.77956271701389,2021-04-01
2021.0,5.0,76.93262532552083,2021-05-01
2021.0,6.0,78.55935872395833,2021-06-01
2021.0,7.0,79.25999348958334,2021-07-01
