Year,Month,NDVI,datetime
2019.0,8.0,0.4902072953589169,2019-08-01
2019.0,9.0,0.5293215056996287,2019-09-01
2019.0,10.0,0.5801744343322001,2019-10-01
2019.0,11.0,0.5346182364004629,2019-11-01
2019.0,12.0,0.5077379014756944,2019-12-01
2020.0,1.0,0.45187952489028743,2020-01-01
2020.0,2.0,0.6002551891185619,2020-02-01
2020.0,3.0,0.6498978226273148,2020-03-01
2020.0,4.0,0.584657362949701,2020-04-01
2020.0,5.0,0.5681235230999229,2020-05-01
2020.0,6.0,0.5483344749168113,2020-06-01
2020.0,7.0,0.3861463099350164,2020-07-01
2020.0,8.0,0.4031649930977527,2020-08-01
2020.0,9.0,0.4437274697386188,2020-09-01
2020.0,10.0,0.45125579833984375,2020-10-01
2020.0,11.0,0.440336533534674,2020-11-01
2020.0,12.0,0.42385280279465665,2020-12-01
2021.0,1.0,0.4257318944106867,2021-01-01
2021.0,2.0,0.4761790522822627,2021-02-01
2021.0,3.0,0.5944141811794705,2021-03-01
2021.0,4.0,0.564340662073206,2021-04-01
2021.0,5.0,0.4713738523883584,2021-05-01
2021.0,6.0,0.38225348201798803,2021-06-01
2021.0,7.0,0.2522043534267096,2021-07-01
2021.0,8.0,0.27329075189284335,2021-08-01
2021.0,9.0,0.3807475243085696,2021-09-01
2021.0,10.0,0.4466092145001447,2021-10-01
2021.0,11.0,0.5175223644868827,2021-11-01
2021.0,12.0,0.384524781026958,2021-12-01
2022.0,1.0,0.7157385555314429,2022-01-01
2022.0,2.0,0.7157904542522666,2022-02-01
2022.0,3.0,0.5336365405424142,2022-03-01
2022.0,4.0,0.29904123000156735,2022-04-01
2022.0,5.0,0.26184510596004534,2022-05-01
2022.0,6.0,0.35447429138937114,2022-06-01
2022.0,7.0,0.3611103340431496,2022-07-01
2022.0,8.0,0.3335258107126495,2022-08-01
2022.0,9.0,0.34168370564778644,2022-09-01
2022.0,10.0,0.2771677087854456,2022-10-01
2022.0,11.0,0.397219952241874,2022-11-01
2022.0,12.0,0.559125499960817,2022-12-01
2023.0,1.0,0.7442939664110725,2023-01-01
2023.0,2.0,0.7529107552987558,2023-02-01
2023.0,3.0,0.7195814627188223,2023-03-01
2023.0,4.0,0.6613973923671392,2023-04-01
2023.0,5.0,0.5821535086926118,2023-05-01
2023.0,6.0,0.4977548858265818,2023-06-01
2023.0,7.0,0.47246047596872587,2023-07-01
2023.0,8.0,0.3497486820927373,2023-08-01
2023.0,9.0,0.3878770757604528,2023-09-01
2023.0,10.0,0.32653624923140917,2023-10-01
2023.0,11.0,0.3292320392749928,2023-11-01
2023.0,12.0,0.5220037389684606,2023-12-01
2024.0,1.0,0.7342391779393326,2024-01-01
2024.0,2.0,0.6888128680947386,2024-02-01
2024.0,3.0,0.6375378267264661,2024-03-01
2024.0,4.0,0.5994183104715229,2024-04-01
2024.0,5.0,0.45670959095896024,2024-05-01
2024.0,6.0,0.3867995650679977,2024-06-01
2024.0,7.0,0.26668021119671104,2024-07-01
2024.0,8.0,0.23894434799382716,2024-08-01
2024.0,9.0,0.47098352879653743,2024-09-01
2024.0,10.0,0.673937291274836,2024-10-01
2024.0,11.0,0.6470478199146412,2024-11-01
2024.0,12.0,0.6584250367717979,2024-12-01
2025.0,1.0,0.49093373616536456,2025-01-01
2025.0,2.0,0.4144726976936246,2025-02-01
2025.0,3.0,0.5620989387418017,2025-03-01
2025.0,4.0,0.5751922513231819,2025-04-01
2025.0,5.0,0.4081313521773727,2025-05-01
2025.0,6.0,0.49593508685076676,2025-06-01
2025.0,7.0,0.3489159478081597,2025-07-01
