,Year,Month,ET,datetime
185,2016.0,6.0,3.4960416666666667,2016-06-01
186,2016.0,7.0,3.8503645833333335,2016-07-01
187,2016.0,8.0,3.882239583333333,2016-08-01
188,2016.0,9.0,3.4495312500000006,2016-09-01
189,2016.0,10.0,2.6452083333333336,2016-10-01
190,2016.0,11.0,1.90375,2016-11-01
191,2016.0,12.0,2.0733854166666665,2016-12-01
192,2017.0,1.0,1.904934210526316,2017-01-01
193,2017.0,2.0,2.4370098039215686,2017-02-01
194,2017.0,3.0,2.7232812500000003,2017-03-01
195,2017.0,4.0,2.4623842592592595,2017-04-01
196,2017.0,5.0,3.2400000000000007,2017-05-01
197,2017.0,6.0,3.3823958333333337,2017-06-01
198,2017.0,7.0,3.095677083333334,2017-07-01
199,2017.0,8.0,2.4628125,2017-08-01
200,2017.0,9.0,1.8603125000000005,2017-09-01
201,2017.0,10.0,2.146979166666667,2017-10-01
202,2017.0,11.0,2.0777604166666666,2017-11-01
203,2017.0,12.0,1.4484375,2017-12-01
204,2018.0,1.0,1.99515625,2018-01-01
205,2018.0,2.0,2.1465625000000004,2018-02-01
206,2018.0,3.0,2.7568229166666667,2018-03-01
207,2018.0,4.0,2.946527777777778,2018-04-01
208,2018.0,5.0,4.246979166666668,2018-05-01
209,2018.0,6.0,3.78203125,2018-06-01
210,2018.0,7.0,3.668854166666667,2018-07-01
211,2018.0,8.0,3.5242324561403504,2018-08-01
212,2018.0,9.0,3.6703125,2018-09-01
213,2018.0,10.0,3.39625,2018-10-01
214,2018.0,11.0,2.996666666666667,2018-11-01
215,2018.0,12.0,2.210677083333333,2018-12-01
216,2019.0,1.0,2.0828125,2019-01-01
217,2019.0,2.0,2.628333333333333,2019-02-01
218,2019.0,3.0,2.807916666666667,2019-03-01
219,2019.0,4.0,3.0428125000000006,2019-04-01
220,2019.0,5.0,3.8842708333333342,2019-05-01
221,2019.0,6.0,3.1571875,2019-06-01
222,2019.0,7.0,4.033437500000001,2019-07-01
223,2019.0,8.0,3.145885416666667,2019-08-01
224,2019.0,9.0,2.626041666666667,2019-09-01
225,2019.0,10.0,2.518854166666667,2019-10-01
226,2019.0,11.0,2.050729166666667,2019-11-01
227,2019.0,12.0,2.0709895833333336,2019-12-01
228,2020.0,1.0,2.4307812500000003,2020-01-01
229,2020.0,2.0,2.61296875,2020-02-01
230,2020.0,3.0,2.764270833333333,2020-03-01
231,2020.0,4.0,2.92375,2020-04-01
232,2020.0,5.0,3.6596875,2020-05-01
233,2020.0,6.0,3.254322916666667,2020-06-01
234,2020.0,7.0,3.008177083333334,2020-07-01
235,2020.0,8.0,2.9182812500000006,2020-08-01
236,2020.0,9.0,2.1122916666666667,2020-09-01
237,2020.0,10.0,1.900625,2020-10-01
238,2020.0,11.0,2.4825,2020-11-01
239,2020.0,12.0,2.152552083333334,2020-12-01
240,2021.0,1.0,2.1840104166666667,2021-01-01
241,2021.0,2.0,2.412916666666667,2021-02-01
242,2021.0,3.0,3.2782291666666667,2021-03-01
243,2021.0,4.0,2.77625,2021-04-01
244,2021.0,5.0,2.89328125,2021-05-01
245,2021.0,6.0,2.831197916666667,2021-06-01
246,2021.0,7.0,3.5048437500000005,2021-07-01
247,2021.0,8.0,2.326875,2021-08-01
248,2021.0,9.0,2.9062500000000004,2021-09-01
249,2021.0,10.0,2.3316666666666666,2021-10-01
250,2021.0,11.0,2.041770833333333,2021-11-01
251,2021.0,12.0,1.8631770833333328,2021-12-01
252,2022.0,1.0,2.447760416666667,2022-01-01
253,2022.0,2.0,2.66390625,2022-02-01
254,2022.0,3.0,2.4767708333333336,2022-03-01
255,2022.0,4.0,2.892467948717949,2022-04-01
256,2022.0,5.0,2.8258854166666665,2022-05-01
257,2022.0,6.0,3.0921875,2022-06-01
258,2022.0,7.0,2.8256578947368425,2022-07-01
259,2022.0,8.0,2.0091666666666668,2022-08-01
260,2022.0,9.0,1.92375,2022-09-01
261,2022.0,10.0,1.9509375,2022-10-01
262,2022.0,11.0,1.6732456140350878,2022-11-01
263,2022.0,12.0,1.5125694444444446,2022-12-01
264,2023.0,1.0,1.748229166666667,2023-01-01
265,2023.0,2.0,2.6045312500000004,2023-02-01
266,2023.0,3.0,2.985625,2023-03-01
267,2023.0,4.0,3.580625,2023-04-01
268,2023.0,5.0,3.2803125,2023-05-01
269,2023.0,6.0,3.18234375,2023-06-01
270,2023.0,7.0,3.0428125,2023-07-01
271,2023.0,8.0,2.0114062500000003,2023-08-01
272,2023.0,9.0,1.9204166666666667,2023-09-01
273,2023.0,10.0,1.536875,2023-10-01
