Year,Month,tmean_f,datetime
1996,3,77.57827690972223,1996-03-01
1996,4,81.61229383680555,1996-04-01
1996,5,83.02841254340278,1996-05-01
1996,6,84.9752170138889,1996-06-01
1996,7,84.69232855902777,1996-07-01
1996,8,85.42360026041666,1996-08-01
1996,9,85.36389973958333,1996-09-01
1996,10,85.64520941840277,1996-10-01
1996,11,78.96668836805556,1996-11-01
1996,12,77.01520453559027,1996-12-01
1997,1,76.73906792534723,1997-01-01
1997,2,79.644921875,1997-02-01
1997,3,78.90628797743057,1997-03-01
1997,4,81.81552734375,1997-04-01
1997,5,80.68238389756945,1997-05-01
1997,6,83.22302517361112,1997-06-01
1997,7,84.22995876736113,1997-07-01
1997,8,86.03506944444445,1997-08-01
1997,9,86.11255425347223,1997-09-01
1997,10,84.95960828993056,1997-10-01
1997,11,80.55920681423612,1997-11-01
1997,12,77.67804904513889,1997-12-01
1998,1,78.68625217013889,1998-01-01
1998,2,78.94069010416666,1998-02-01
1998,3,80.82497829861111,1998-03-01
1998,4,79.2953125,1998-04-01
1998,5,79.07556423611112,1998-05-01
1998,6,81.37741970486111,1998-06-01
1998,7,82.69743923611111,1998-07-01
1998,8,84.91852213541667,1998-08-01
1998,9,84.60967881944444,1998-09-01
1998,10,83.37862955729167,1998-10-01
1998,11,81.13362630208334,1998-11-01
1998,12,79.10709635416667,1998-12-01
1999,1,78.50315755208334,1999-01-01
1999,2,78.50057508680555,1999-02-01
1999,3,79.16908094618056,1999-03-01
1999,4,80.25950520833334,1999-04-01
1999,5,82.287353515625,1999-05-01
1999,6,83.46254340277778,1999-06-01
1999,7,83.98588324652778,1999-07-01
1999,8,85.0748046875,1999-08-01
1999,9,85.0855251736111,1999-09-01
1999,10,83.61360677083334,1999-10-01
1999,11,81.16138780381945,1999-11-01
1999,12,78.67349717881945,1999-12-01
2000,1,77.33356119791667,2000-01-01
2000,2,80.27213541666667,2000-02-01
2000,3,81.11561414930556,2000-03-01
2000,4,78.35639105902777,2000-04-01
2000,5,82.48072916666666,2000-05-01
2000,6,84.54659288194445,2000-06-01
2000,7,84.20518120659722,2000-07-01
2000,8,85.14956597222222,2000-08-01
2000,9,84.92260199652779,2000-09-01
2000,10,84.30298394097223,2000-10-01
2000,11,81.08610026041666,2000-11-01
2000,12,80.88234592013889,2000-12-01
2001,1,80.35830078125,2001-01-01
2001,2,79.182421875,2001-02-01
2001,3,79.71415473090278,2001-03-01
2001,4,80.09161783854167,2001-04-01
2001,5,81.88625759548611,2001-05-01
2001,6,83.04925130208333,2001-06-01
2001,7,84.99440104166666,2001-07-01
2001,8,85.23132052951388,2001-08-01
2001,9,85.59141710069446,2001-09-01
2001,10,83.23452690972223,2001-10-01
2001,11,81.34399956597223,2001-11-01
2001,12,79.29363064236111,2001-12-01
2002,1,78.64586588541667,2002-01-01
2002,2,77.01055230034723,2002-02-01
2002,3,78.67415364583334,2002-03-01
2002,4,81.483544921875,2002-04-01
2002,5,82.65456271701389,2002-05-01
2002,6,84.77126736111111,2002-06-01
2002,7,84.42292751736112,2002-07-01
2002,8,85.38155381944445,2002-08-01
2002,9,85.59371744791667,2002-09-01
2002,10,84.15562065972222,2002-10-01
2002,11,82.09895833333334,2002-11-01
2002,12,80.72803819444445,2002-12-01
2003,1,78.89893663194445,2003-01-01
2003,2,78.4033962673611,2003-02-01
2003,3,80.96935763888888,2003-03-01
2003,4,81.45769314236111,2003-04-01
2003,5,83.92713758680556,2003-05-01
2003,6,84.94689127604167,2003-06-01
2003,7,85.68425564236111,2003-07-01
2003,8,86.29449327256944,2003-08-01
2003,9,86.19969618055555,2003-09-01
2003,10,85.97759331597223,2003-10-01
2003,11,82.65289171006944,2003-11-01
2003,12,79.50003255208333,2003-12-01
2004,1,79.23071831597223,2004-01-01
2004,2,81.10929361979167,2004-02-01
2004,3,77.83631727430556,2004-03-01
2004,4,80.77298719618055,2004-04-01
2004,5,82.67599826388889,2004-05-01
2004,6,84.16311848958333,2004-06-01
2004,7,86.01944444444445,2004-07-01
2004,8,85.78688693576389,2004-08-01
2004,9,86.87888454861111,2004-09-01
2004,10,85.52184244791667,2004-10-01
2004,11,82.41180013020833,2004-11-01
2004,12,79.55442708333334,2004-12-01
2005,1,78.65596788194445,2005-01-01
2005,2,78.43186848958334,2005-02-01
2005,3,78.2655490451389,2005-03-01
2005,4,80.88230251736111,2005-04-01
2005,5,83.71791449652778,2005-05-01
2005,6,84.08365885416666,2005-06-01
2005,7,84.7510525173611,2005-07-01
2005,8,86.13506944444444,2005-08-01
2005,9,85.31050347222222,2005-09-01
2005,10,83.17462565104168,2005-10-01
2005,11,81.65272352430556,2005-11-01
2005,12,80.50068359375001,2005-12-01
2006,1,79.41059027777777,2006-01-01
2006,2,77.25107964409722,2006-02-01
2006,3,78.31730143229167,2006-03-01
2006,4,78.95289713541666,2006-04-01
2006,5,80.57362196180556,2006-05-01
2006,6,84.41621093750001,2006-06-01
2006,7,84.48102756076389,2006-07-01
2006,8,85.51456163194445,2006-08-01
2006,9,85.33422309027777,2006-09-01
2006,10,84.09480794270834,2006-10-01
2006,11,83.21937934027778,2006-11-01
