Year,Month,tmean_f,datetime
2019,2,54.398441569010416,2019-02-01
2019,3,54.538266330295144,2019-03-01
2019,4,58.24235568576389,2019-04-01
2019,5,59.61436360677084,2019-05-01
2019,6,61.39205729166667,2019-06-01
2019,7,62.57953559027778,2019-07-01
2019,8,63.80345323350694,2019-08-01
2019,9,63.912109375,2019-09-01
2019,10,61.93510199652778,2019-10-01
2019,11,60.66911078559028,2019-11-01
2019,12,59.609844292534724,2019-12-01
2020,1,57.438313802083336,2020-01-01
2020,2,55.15509711371528,2020-02-01
2020,3,57.525333658854166,2020-03-01
2020,4,58.059071180555556,2020-04-01
2020,5,59.15188530815972,2020-05-01
2020,6,60.783544921875,2020-06-01
2020,7,61.78596733940972,2020-07-01
2020,8,62.20802680121528,2020-08-01
2020,9,61.38554144965278,2020-09-01
2020,10,61.18280978732639,2020-10-01
2020,11,61.21115993923611,2020-11-01
2020,12,58.54855143229167,2020-12-01
2021,1,57.116918945312506,2021-01-01
2021,2,55.625238715277774,2021-02-01
2021,3,56.70932888454861,2021-03-01
2021,4,56.055455186631946,2021-04-01
2021,5,59.139697265625,2021-05-01
2021,6,59.61327853732639,2021-06-01
2021,7,62.00119900173611,2021-07-01
2021,8,61.191799587673614,2021-08-01
2021,9,60.521763780381946,2021-09-01
2021,10,59.70250108506944,2021-10-01
2021,11,58.578944227430554,2021-11-01
2021,12,58.11267903645833,2021-12-01
2022,1,55.817982313368056,2022-01-01
2022,2,55.495846896701394,2022-02-01
2022,3,56.804652235243054,2022-03-01
2022,4,58.61257866753472,2022-04-01
2022,5,59.3495361328125,2022-05-01
2022,6,59.18102484809028,2022-06-01
2022,7,60.98341471354166,2022-07-01
2022,8,60.61808268229167,2022-08-01
2022,9,61.40799967447917,2022-09-01
2022,10,61.491430664062506,2022-10-01
2022,11,59.25426432291667,2022-11-01
2022,12,57.85563693576389,2022-12-01
2023,1,56.605441623263886,2023-01-01
2023,2,57.33012424045139,2023-02-01
2023,3,57.793804253472224,2023-03-01
2023,4,57.739781358506946,2023-04-01
2023,5,58.459117296006944,2023-05-01
2023,6,59.29897189670139,2023-06-01
2023,7,61.105712890625,2023-07-01
2023,8,61.018519422743054,2023-08-01
2023,9,60.444417317708336,2023-09-01
2023,10,59.91324869791667,2023-10-01
2023,11,59.34074164496528,2023-11-01
2023,12,57.465923394097224,2023-12-01
2024,1,56.523068576388894,2024-01-01
2024,2,54.435763888888886,2024-02-01
2024,3,56.50418023003472,2024-03-01
2024,4,57.65251736111111,2024-04-01
2024,5,59.623437499999994,2024-05-01
2024,6,60.00996636284722,2024-06-01
2024,7,60.70694986979167,2024-07-01
2024,8,62.092342122395834,2024-08-01
2024,9,61.24921603732639,2024-09-01
2024,10,60.453466796875006,2024-10-01
2024,11,58.62413194444444,2024-11-01
2024,12,57.41771104600694,2024-12-01
2025,1,56.02812771267361,2025-01-01
2025,2,55.63597276475694,2025-02-01
2025,3,56.4818359375,2025-03-01
2025,4,57.785579427083334,2025-04-01
2025,5,58.22747938368056,2025-05-01
2025,6,60.29792751736112,2025-06-01
2025,7,61.08336859809028,2025-07-01
