,Month,MRF,Phase,Count,MeRF,MnRF,MeAnom,MnAnom,MT,MeT,MnT
20,5,5.646419687596519,SEL,2,3.9613144041046384,3.103314497339444,-1.6851052834918807,-2.543105190257075,63.9102781985507,63.68111305236816,63.68111305236816
21,5,5.646419687596519,WEL,13,5.312224630151353,1.415724866972195,-0.3341950574451662,-4.230694820624324,63.9102781985507,62.58021673684883,60.29864921569825
22,5,5.646419687596519,NUT,44,5.849307305316201,1.2326498857633337,0.2028876177196821,-4.413769801833185,63.9102781985507,64.21393847475989,61.98815129506772
23,5,5.646419687596519,WLA,14,5.423834268904645,0.2339486437519704,-0.22258541869187454,-5.4124710438445485,63.9102781985507,63.73622458524834,62.4677149828552
24,5,5.646419687596519,SLA,2,6.5983631854920874,2.3192883288766457,0.9519434978955683,-3.3271313587198734,63.9102781985507,64.67583236694335,64.67583236694335
25,6,4.727898132644614,SEL,3,5.97857157389323,3.164433156411479,1.2506734412486162,-1.563464976233135,65.11195633362652,64.77019146167049,63.6716236114502
26,6,4.727898132644614,WEL,14,6.190551740648508,1.9771410724309488,1.4626536080038939,-2.7507570602136653,65.11195633362652,66.31559161977161,62.96602325439453
27,6,4.727898132644614,NUT,43,4.302437671744503,1.4132693433386134,-0.42546046090011114,-3.314628789306001,65.11195633362652,65.06050059224724,62.42428054809571
28,6,4.727898132644614,WLA,13,4.3896312124436,1.4036941528320312,-0.338266920201014,-3.324203979812583,65.11195633362652,64.53274161211338,63.59560374670351
29,6,4.727898132644614,SLA,2,3.9594476054033896,3.014088427926612,-0.7684505272412245,-1.713809704718002,65.11195633362652,,
30,7,4.8871444361729255,SEL,6,5.541723056102363,3.7325989730714815,0.6545786199294374,-1.154545463101444,66.36094240999749,67.24929591904815,65.86458396911621
31,7,4.8871444361729255,WEL,10,5.291210895448219,1.223608752873939,0.4040664592752936,-3.6635356832989867,66.36094240999749,66.46701613281155,64.83442001342775
32,7,4.8871444361729255,NUT,44,4.760398673601634,1.5029970304233822,-0.1267457625712911,-3.3841474057495433,66.36094240999749,66.41021921824952,64.48916605266479
33,7,4.8871444361729255,WLA,13,5.102465552752268,1.6217240761584186,0.21532111657934294,-3.265420360014507,66.36094240999749,65.80521432680513,63.979340362548825
34,7,4.8871444361729255,SLA,2,2.291895798810824,2.25473659245048,-2.5952486373621015,-2.6324078437224454,66.36094240999749,,
