Year,Month,Temp,datetime,tmean_f
2006,6.0,69.85938211527238,2006-06-01,
2006,7.0,71.11377672470817,2006-07-01,
2006,8.0,71.99735467292797,2006-08-01,
2006,9.0,71.2197482542485,2006-09-01,
2006,10.0,71.17107495294184,2006-10-01,
2006,11.0,70.38295266093311,2006-11-01,
2006,12.0,67.86546010857319,2006-12-01,
2007,1.0,66.62317101750891,2007-01-01,
2007,2.0,65.18702370727502,2007-02-01,
2007,3.0,66.56832967026526,2007-03-01,
2007,4.0,66.62348735275117,2007-04-01,
2007,5.0,68.32406021191916,2007-05-01,
2007,6.0,69.7309829220187,2007-06-01,
2007,7.0,70.85723235221087,2007-07-01,
2007,8.0,70.50930772237803,2007-08-01,
2007,9.0,70.65253842975292,2007-09-01,
2007,10.0,69.65544105564985,2007-10-01,
2007,11.0,68.62832767451073,2007-11-01,
2007,12.0,66.80059922115674,2007-12-01,
2008,1.0,64.47047185157643,2008-01-01,
2008,2.0,64.75911301586177,2008-02-01,
2008,3.0,66.49200176170629,2008-03-01,
2008,4.0,67.03160391311508,2008-04-01,
2008,5.0,67.49254406465732,2008-05-01,
2008,6.0,68.85111121844406,2008-06-01,
2008,7.0,70.08574674674017,2008-07-01,
2008,8.0,70.18971642007935,2008-08-01,
2008,9.0,69.46016915793804,2008-09-01,
2008,10.0,69.52142969758441,2008-10-01,
2008,11.0,68.07704913785966,2008-11-01,
2008,12.0,66.54539147228495,2008-12-01,
2009,1.0,64.78488002058208,2009-01-01,
2009,2.0,64.29625808503988,2009-02-01,
2009,3.0,64.199133398199,2009-03-01,
2009,4.0,65.73342491727965,2009-04-01,
2009,5.0,68.9122093279126,2009-05-01,
2009,6.0,70.33415837410186,2009-06-01,
2009,7.0,71.04956312849768,2009-07-01,
2009,8.0,72.29474879012258,2009-08-01,
2009,9.0,71.25106307875956,2009-09-01,
2009,10.0,71.88714789345514,2009-10-01,
2009,11.0,69.1782350053187,2009-11-01,
2009,12.0,67.42961902338683,2009-12-01,
2010,1.0,67.4899400761422,2010-01-01,
2010,2.0,66.21062271168556,2010-02-01,
2010,3.0,65.85141125255913,2010-03-01,
2010,4.0,66.45250729235278,2010-04-01,
2010,5.0,68.55982581059416,2010-05-01,
2010,6.0,69.24000987889639,2010-06-01,
2010,7.0,69.40795529995712,2010-07-01,
2010,8.0,70.27517650397425,2010-08-01,
2010,9.0,70.13414586873239,2010-09-01,
2010,10.0,70.19651479563554,2010-10-01,
2010,11.0,68.63387665483111,2010-11-01,
2010,12.0,67.9263362862656,2010-12-01,
2011,1.0,66.41960768439426,2011-01-01,
2011,2.0,67.49587126346691,2011-02-01,
2011,3.0,67.87631643587721,2011-03-01,
2011,4.0,67.76509406326817,2011-04-01,
2011,5.0,68.88789678429669,2011-05-01,
2011,6.0,69.43643040396293,2011-06-01,
2011,7.0,69.60186693854463,2011-07-01,
2011,8.0,70.8021727950111,2011-08-01,
2011,9.0,70.23192972982882,2011-09-01,
2011,10.0,69.72126345500278,2011-10-01,
2011,11.0,68.50674126831497,2011-11-01,
2011,12.0,66.79546482687815,2011-12-01,
2012,1.0,66.869476648247,2012-01-01,
2012,2.0,65.86429130404088,2012-02-01,
2012,3.0,66.24055435609787,2012-03-01,
2012,4.0,66.88032604181049,2012-04-01,
2012,5.0,67.9899439582247,2012-05-01,
2012,6.0,69.2822605116849,2012-06-01,
2012,7.0,69.86215657317118,2012-07-01,
2012,8.0,70.71574169446694,2012-08-01,
2012,9.0,69.89851716116542,2012-09-01,
2012,10.0,70.6941696431979,2012-10-01,
2012,11.0,68.37102161161931,2012-11-01,
2012,12.0,67.49589100973522,2012-12-01,
2013,1.0,66.21570865245809,2013-01-01,
2013,2.0,65.45418452609283,2013-02-01,
2013,3.0,65.85296116556914,2013-03-01,
2013,4.0,68.00704367199062,2013-04-01,
2013,5.0,69.59504698573477,2013-05-01,
2013,6.0,70.14116854073808,2013-06-01,
2013,7.0,71.19330204253453,2013-07-01,
2013,8.0,71.66772984969538,2013-08-01,
2013,9.0,71.60706987736123,2013-09-01,
2013,10.0,71.15587227169749,2013-10-01,
2013,11.0,69.93598447538065,2013-11-01,
2013,12.0,68.35622214359176,2013-12-01,
2014,1.0,66.12113592477692,2014-01-01,
2014,2.0,68.51592864255319,2014-02-01,
2014,3.0,67.71591614853307,2014-03-01,
2014,4.0,68.66681066145463,2014-04-01,
2014,5.0,69.54959581477976,2014-05-01,
2014,6.0,69.99088703628513,2014-06-01,
2014,7.0,72.05281067191434,2014-07-01,
2014,8.0,72.366682050234,2014-08-01,
2014,9.0,72.80328548163503,2014-09-01,
2014,10.0,72.40904577344138,2014-10-01,
2014,11.0,70.05827721705214,2014-11-01,
2014,12.0,67.4514104478765,2014-12-01,
2015,1.0,66.74197734998508,2015-01-01,
