,Year,Month,NDVI,datetime
270,2022.0,8.0,0.4313987654320987,2022-08-01
271,2022.0,9.0,0.3791753086419754,2022-09-01
272,2022.0,10.0,0.381553086419753,2022-10-01
273,2022.0,11.0,0.4578438271604939,2022-11-01
274,2022.0,12.0,0.6948246913580246,2022-12-01
275,2023.0,1.0,0.8485481481481482,2023-01-01
276,2023.0,2.0,0.8004006172839505,2023-02-01
277,2023.0,3.0,0.8157320987654321,2023-03-01
278,2023.0,4.0,0.7735962962962963,2023-04-01
279,2023.0,5.0,0.7109425925925926,2023-05-01
280,2023.0,6.0,0.5479055555555556,2023-06-01
281,2023.0,7.0,0.6287172839506173,2023-07-01
282,2023.0,8.0,0.7065240740740741,2023-08-01
283,2023.0,9.0,0.5461283950617285,2023-09-01
284,2023.0,10.0,0.4446987654320988,2023-10-01
285,2023.0,11.0,0.5913061728395062,2023-11-01
286,2023.0,12.0,0.8501037037037037,2023-12-01
