SoilSymbol,Pasture Group,Organic Matter,pH,Unimproved,Poor,Favorable,Improved,Good,Favorable,Temp Regime,Moisture Regime,% nonproductive,Map Unit Name
219,12,10.73,6,3000,4000,5000,6000,8000,10000,isothermic,,,"Kiolakaa-Keaa complex, moist, 10 to 20 percent slopes"
221,6,6.88,7,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Kainaliu silty clay loam, 10 to 20 percent slopes"
223,6,6.88,7,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Kainaliu cobbly silty clay loam, 10 to 20 percent slopes"
224,6,6.88,7,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,25%,"Kainaliu-Lava flows complex, 2 to 10 percent slopes"
225,6,6.88,7,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,25%,"Kainaliu-Lava flows complex, 10 to 20 percent slopes"
226,6,6.88,7,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Kainaliu cobbly silty clay loam, 20 to 40 percent slopes"
227,6,6.88,7,4000,5000,6000,8000,12000,16000,isohyperthermic ,udic,,"Kainaliu-Waiaha complex, 10 to 20 percent slopes"
231,7,13.08,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honuaulu hydrous silt loam, 10 to 20 percent slopes"
232,7,13.08,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honuaulu cobbly hydrous silt loam, 2 to 10 percent slopes"
233,7,13.08,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honuaulu cobbly hydrous silt loam, 10 to 20 percent slopes"
234,7,13.08,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honuaulu cobbly hydrous silt loam, 20 to 40 percent slopes"
235,7,13.08,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honuaulu-Kealakekua complex, 10 to 20 percent slopes"
236,7,13.08,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Honuaulu-Kealakekua complex, 2 to 10 percent slopes"
242,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Waiaha medial silt loam, 2 to 10 percent slopes"
243,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Waiaha medial silt loam, 10 to 20 percent slopes"
244,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Waiaha cobbly medial silt loam, 2 to 10 percent slopes"
245,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Waiaha cobbly medial silt loam, 10 to 20 percent slopes"
248,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,35%,"Waiaha-Lava flows complex, 40 to 99 percent slopes"
249,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,15%,"Waiaha-Punaluu-Lava flows complex, 2 to 10 percent slopes"
250,6,8,6.4,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,20%,"Waiaha-Punaluu-Lava flows complex, 10 to 20 percent slopes"
252,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Napoopoo hydrous silt loam, 10 to 20 percent slopes"
253,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Napoopoo cobbly hydrous silt loam, 2 to 10 percent slopes"
254,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Napoopoo cobbly hydrous silt loam, 10 to 20 percent slopes"
256,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,25%,"Napoopoo-Lava flows complex, 10 to 20 percent slopes"
257,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Napoopoo cobbly hydrous silt loam, 20 to 40 percent slopes"
258,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Napoopoo-Honuaulu complex, 10 to 20 percent slopes"
259,7,18.42,5.6,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Napoopoo-Honuaulu complex, 20 to 40 percent slopes"
260,7,20.47,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Kealakekua hydrous silty clay loam, 2 to 10 percent slopes"
261,7,20.47,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Kealakekua hydrous silty clay loam, 10 to 20 percent slopes"
264,7,20.47,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Kealakekua cobbly hydrous silty clay loam, 2 to 10 percent slopes"
265,7,20.47,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Kealakekua cobbly hydrous silty clay loam, 10 to 20 percent slopes"
266,7,20.47,5.8,8000,10000,12000,20000,25000,30000,isothermic,udic,,"Kealakekua cobbly hydrous silty clay loam, 20 to 40 percent slopes"
271,6,,,4000,5000,6000,8000,12000,16000,,,60%,"Lava flows-Kanohina complex, 2 to 20 percent slopes"
272,6,4,6.9,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Kanohina ashy very fine sandy loam, 2 to 10 percent slopes"
275,3,4.89,6.8,3000,4000,5000,6000,8000,10000,isothermic,ustic,40%,"Kapulehu-Lava flows complex, 2 to 10 percent slopes"
276,5,4.89,6.8,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Kapulehu very cobbly medial silt loam, 2 to 10 percent slopes"
277,12,4.89,6.8,3000,4000,5000,6000,8000,10000,isothermic,ustic,,"Kapulehu very cobbly medial silt loam, 10 to 20 percent slopes"
280,0,4.67,6.7,0,0,0,0,0,0,isothermic,ustic,,"Nanaia-Lava flows complex, 2 to 10 percent slopes"
281,0,,,0,0,0,0,0,0,,,,"Lava flows-Nanaia complex, 2 to 20 percent slopes"
290,3,4.09,6.1,3000,4000,5000,6000,8000,10000,isothermic,ustic,,"Keaa cobbly medial loam, 2 to 10 percent slopes"
291,5,4.09,6.1,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Keaa cobbly medial loam, 10 to 20 percent slopes"
292,5,4.09,6.1,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Keaa-Kiolakaa complex, 2 to 10 percent slopes"
