Year,Month,RF_mm,RF_in,datetime
1927.0,3.0,268.8443818933824,10.584424483991432,1927-03-01
1927.0,4.0,480.5425379136029,18.91899755565366,1927-04-01
1927.0,5.0,140.0979434742647,5.515667065915933,1927-05-01
1927.0,6.0,116.23262293198528,4.576087517007295,1927-06-01
1927.0,7.0,410.4303193933824,16.15867399186545,1927-07-01
1927.0,8.0,348.26223575367646,13.71111164384553,1927-08-01
1927.0,9.0,267.5194738051471,10.532262748234135,1927-09-01
1927.0,10.0,119.91070197610294,4.72089377858673,1927-10-01
1927.0,11.0,346.07516659007354,13.625006558664314,1927-11-01
1927.0,12.0,546.3284122242648,21.50899260725452,1927-12-01
1928.0,1.0,303.4022863051471,11.944971901777445,1928-01-01
1928.0,2.0,216.58386948529412,8.52692399548402,1928-02-01
1928.0,3.0,200.28245634191177,7.88513607645322,1928-03-01
