,Year,Month,RF_mm,RF_in,datetime
80,1926.0,9.0,50.91943359375,2.0047021099901574,1926-09-01
81,1926.0,10.0,47.41886091820987,1.866884288118499,1926-10-01
82,1926.0,11.0,10.40007339289159,0.4094517083815587,1926-11-01
83,1926.0,12.0,31.420494550540123,1.2370273445094535,1926-12-01
84,1927.0,1.0,82.71062403549382,3.2563237809249537,1927-01-01
85,1927.0,2.0,66.36162350501543,2.612662342717143,1927-02-01
86,1927.0,3.0,206.1467978395061,8.116015662972684,1927-03-01
87,1927.0,4.0,95.4944480613426,3.759623939422937,1927-04-01
88,1927.0,5.0,56.28916497878087,2.216108857432318,1927-05-01
89,1927.0,6.0,9.06386688609182,0.356845152995741,1927-06-01
90,1927.0,7.0,11.739087516878858,0.4621687998771204,1927-07-01
